episode,step,task,action_x,action_y,action_z,action_gripper,ee_x,ee_y,ee_z,ee_vx,ee_vy,ee_vz,cube_x,cube_y,cube_z,active_target_name,active_target_index,target_x,target_y,target_z,dist_ee_cube,dist_cube_target,reward,success,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,cube_roll,cube_pitch,cube_yaw,cube_vx,cube_vy,cube_vz,goal_0_x,goal_0_y,goal_0_z,dist_goal_0,goal_1_x,goal_1_y,goal_1_z,dist_goal_1,goal_2_x,goal_2_y,goal_2_z,dist_goal_2,goal_3_x,goal_3_y,goal_3_z,dist_goal_3,target_changed,timestep
1,1,PUSH,-0.603,0.0,-0.798,0.0,0.025,0.0,0.168,-0.518,-0.0,-0.882,0.03,0.0,0.02,target,0,0.15,0.0,0.02,0.1484,0.12,-0.12,False,-0.0,0.42,0.0,-1.93,-0.0,2.36,0.79,-0.0,0.59,0.0,-1.37,-0.01,0.75,-0.03,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.15000000596046448,0.0,0.019999999552965164,0.12000000596046448,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.15620499905103785,-0.10000000149011612,0.0,0.019999999552965164,0.13000000149011612,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.16401219675820886,True,0
1,2,PUSH,-0.681,-0.0,-0.732,0.0,-0.0,0.0,0.131,-0.322,-0.0,-0.578,0.03,0.0,0.02,target,0,0.15,0.0,0.02,0.1146,0.12,-0.12,False,-0.0,0.43,0.0,-2.03,-0.0,2.44,0.79,-0.0,0.56,-0.0,-0.76,-0.0,0.65,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.15000000596046448,0.0,0.019999999552965164,0.12000000596046448,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.15620499905103785,-0.10000000149011612,0.0,0.019999999552965164,0.13000000149011612,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.16401219675820886,False,1
1,3,PUSH,-0.882,-0.0,-0.471,0.0,-0.031,-0.0,0.108,-0.445,-0.0,-0.248,0.03,0.0,0.02,target,0,0.15,0.0,0.02,0.1075,0.12,-0.12,False,-0.0,0.4,0.0,-2.15,-0.0,2.54,0.79,-0.0,-0.38,0.0,-1.43,-0.01,0.77,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.15000000596046448,0.0,0.019999999552965164,0.12000000596046448,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.15620499905103785,-0.10000000149011612,0.0,0.019999999552965164,0.13000000149011612,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.16401219675820886,False,2
1,4,PUSH,0.693,0.0,0.721,0.0,-0.034,0.0,0.115,1.027,0.0,0.764,0.03,0.0,0.02,target,0,0.15,0.0,0.02,0.1146,0.12,-0.12,False,-0.0,0.39,0.0,-2.11,-0.0,2.45,0.79,0.0,0.24,0.0,2.59,0.01,-0.71,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.15000000596046448,0.0,0.019999999552965164,0.12000000596046448,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.15620499905103785,-0.10000000149011612,0.0,0.019999999552965164,0.13000000149011612,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.16401219675820886,False,3
1,5,PUSH,0.042,-0.0,-0.297,0.0,-0.015,0.0,0.115,-0.687,0.0,-0.746,0.03,0.0,0.02,target,0,0.15,0.0,0.02,0.1051,0.12,-0.12,False,-0.0,0.41,0.0,-2.11,-0.0,2.55,0.79,-0.0,0.33,0.0,-1.62,-0.01,0.75,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.15000000596046448,0.0,0.019999999552965164,0.12000000596046448,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.15620499905103785,-0.10000000149011612,0.0,0.019999999552965164,0.13000000149011612,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.16401219675820886,False,4
1,6,PUSH,-0.015,0.0,-0.3,0.0,-0.021,0.0,0.093,-0.032,-0.0,-0.219,0.03,0.0,0.02,target,0,0.15,0.0,0.02,0.0894,0.12,-0.12,False,-0.0,0.45,0.0,-2.1,-0.0,2.54,0.79,0.0,0.49,-0.0,0.18,-0.0,-0.01,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.15000000596046448,0.0,0.019999999552965164,0.12000000596046448,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.15620499905103785,-0.10000000149011612,0.0,0.019999999552965164,0.13000000149011612,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.16401219675820886,False,5
1,7,PUSH,0.005,0.0,-0.3,0.0,-0.021,-0.0,0.079,-0.004,-0.0,-0.111,0.03,0.0,0.02,target,0,0.15,0.0,0.02,0.0784,0.12,-0.12,False,-0.0,0.48,0.0,-2.11,-0.0,2.58,0.79,0.0,0.22,-0.0,-0.03,-0.0,0.31,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.15000000596046448,0.0,0.019999999552965164,0.12000000596046448,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.15620499905103785,-0.10000000149011612,0.0,0.019999999552965164,0.13000000149011612,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.16401219675820886,False,6
1,8,PUSH,0.006,0.0,-0.3,0.0,-0.021,-0.0,0.066,-0.023,-0.0,-0.145,0.03,0.0,0.02,target,0,0.15,0.0,0.02,0.0691,0.12,-0.12,False,-0.0,0.51,0.0,-2.1,-0.0,2.61,0.79,0.0,0.3,-0.0,0.02,-0.0,0.22,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.15000000596046448,0.0,0.019999999552965164,0.12000000596046448,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.15620499905103785,-0.10000000149011612,0.0,0.019999999552965164,0.13000000149011612,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.16401219675820886,False,7
1,9,PUSH,0.009,0.0,-0.3,0.0,-0.022,-0.0,0.052,-0.027,-0.0,-0.149,0.03,0.0,0.02,target,0,0.15,0.0,0.02,0.0612,0.12,-0.12,False,-0.0,0.54,0.0,-2.1,-0.0,2.64,0.79,0.0,0.31,-0.0,0.04,-0.0,0.19,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.15000000596046448,0.0,0.019999999552965164,0.12000000596046448,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.15620499905103785,-0.10000000149011612,0.0,0.019999999552965164,0.13000000149011612,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.16401219675820886,False,8
1,10,PUSH,0.018,0.0,-0.299,0.0,-0.022,-0.0,0.038,-0.03,-0.0,-0.157,0.03,0.0,0.02,target,0,0.15,0.0,0.02,0.0555,0.12,-0.12,False,-0.0,0.57,0.0,-2.09,-0.0,2.66,0.79,0.0,0.33,-0.0,0.05,-0.0,0.19,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.019999999552965164,0.12000000596046448,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.15620499905103785,-0.10000000149011612,0.0,0.019999999552965164,0.13000000149011612,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.16401219675820886,False,9
